EntrezGene ID	Affy HTA-2_0 probeset
100422844	
148206	
148206	TC19000388.hg
100500809	TC0X000908.hg
100500820	18674711
100500820	18670142
100500820	18670140
100500820	18674712
100500820	18678263
100500820	18670139
100500820	18674710
100500820	18670141
100500820	18674709
101929297	
102466880	
100616203	TC17001428.hg
29844	
100616441	TC09000943.hg
9907	TC07000045.hg
9907	
494335	
100526767	TC02004385.hg
100526767	
359	TC12000383.hg
65243	TC01000511.hg
401093	TC03003157.hg
401093	TC03001911.hg
158833	TC0X000372.hg
100126340	TC03001043.hg
165631	TC03000633.hg
165631	
414196	ADDON001693.hg
414196	TC10001036.hg
57189	
79690	
79690	TC07001661.hg
340205	TC06001712.hg
101928661	TC06003909.hg
101928661	TC06002198.hg
6928	TC17001410.hg
6928	
677767	TC03003185.hg
677767	TC03001957.hg
26831	TC15000602.hg
26831	TC01004000.hg
693144	TC02000294.hg
677778	TC15000792.hg
767593	TC14000692.hg
767593	TC14000693.hg
1136	
1136	TC15001705.hg
1136	ADDON000283.hg
100616339	
102465861	
100302190	TC01000348.hg
100313841	TC10001044.hg
441864	
101927694	TC12001022.hg
101927694	TC12002669.hg
1351	TC11003499.hg
1351	ADDON002451.hg
353513	TC0Y000165.hg
353513	TC0Y000056.hg
100505915	TC16001425.hg
101928682	TC16002014.hg
101928682	ADDON002174.hg
101928682	ADDON000325.hg
101928682	TC16002015.hg
101928682	
692209	TC02000188.hg
677814	TC13000632.hg
100847088	
105374896	TC06003433.hg
149086	TC01000409.hg
149086	TC01004293.hg
149086	
100616383	TC10000146.hg
100616165	
196500	TC12001148.hg
196500	
64112	TC14001454.hg
101340251	TC17001458.hg
100847040	
51594	TC02001592.hg
51594	
90025	TC06001910.hg
90025	TC06003739.hg
90025	
594838	TC06000997.hg
619564	TC05001301.hg
619564	18670206
619564	18670207
619564	18672263
9656	
100313771	TC02002736.hg
100423025	TC22000477.hg
3106	TC06004060.hg
3106	TC6_cox_hap2000237.hg
3106	
767611	TC14000710.hg
9730	TC03001436.hg
9730	
102465944	
100423016	
100616347	
389831	
102723360	
102724219	
102724441	
102724843	
102724951	
574460	TC19000818.hg
692085	
102465490	
102465536	
100616298	
5817	TC19000624.hg
5817	
390245	TC11000926.hg
100302148	TC03001963.hg
100302126	TC02002868.hg
103504738	
442914	TC14000761.hg
442914	TC14000763.hg
442914	TC14000762.hg
442914	TC14000760.hg
407044	TC15000839.hg
100847042	
25853	TC09001028.hg
25853	
100313914	TC22000611.hg
389434	TC06001093.hg
389434	
100313895	TC07001991.hg
4012	
4012	TC05000472.hg
9698	
9698	TC01002445.hg
101928708	TC16001691.hg
100422926	
3987	
3987	TC02004997.hg
100288695	
100288695	TC02004997.hg
100616255	
102465521	
102465136	
102465856	
100422835	
402055	TC22000170.hg
402055	
103625684	TC10000099.hg
103625684	TC14001020.hg
103625684	TC02002540.hg
103625684	TC19000026.hg
103625684	TC12001421.hg
103625684	TC04001128.hg
103625684	TC14000206.hg
103625684	TC0X001437.hg
103625684	TC12000757.hg
103625684	TC08000693.hg
103625684	TC10000148.hg
103625684	TC19000021.hg
103625684	TC03000967.hg
103625684	TC04001378.hg
103625684	TC07001824.hg
103625684	TC15001590.hg
103625684	TC03002169.hg
103625684	TC0X001104.hg
103625684	TC05001229.hg
103625684	TC03001083.hg
103625684	TC01001564.hg
103625684	TC01000128.hg
103625684	TC08000390.hg
100422904	TC20000195.hg
1474	TC11000651.hg
100381270	
26771	
164091	TC01002382.hg
255919	TC16000435.hg
255919	
677819	TC18000522.hg
142683	TC01003411.hg
142683	TC17000248.hg
142683	
54716	TC03001351.hg
54716	
100616157	TC02000624.hg
102465494	
100302133	
406972	TC17001648.hg
54660	TC05000758.hg
54660	TC05002660.hg
54660	
147948	
147948	TC19001888.hg
100500898	
105379554	TC4_gl000194_random000002.hg
105379554	TC21000804.hg
11149	TC06001976.hg
100033447	TC15000093.hg
100033447	TC15000083.hg
100500884	
692199	
6477	
837	
837	TC11002246.hg
102465835	
100422880	TC11001828.hg
9231	
9231	TC10001445.hg
199713	TC19001853.hg
284551	TC01004294.hg
284551	TC01000410.hg
693173	TC06000967.hg
406897	TC0X001495.hg
100616153	
100379224	TC19001603.hg
100379224	TC19002507.hg
574515	TC0X001469.hg
54033	TC21000025.hg
54033	
574494	TC19000853.hg
101954264	TC01003093.hg
101954264	TC01001166.hg
101954264	TC01003089.hg
101954268	TC01003093.hg
101954268	TC01001166.hg
101954268	TC01003089.hg
100500867	TC04000513.hg
100422973	TC13000706.hg
5158	TC04000011.hg
5158	
441631	
441631	TC12000284.hg
400798	TC01006409.hg
400798	TC01004851.hg
406932	TC16000573.hg
100616426	TC11001484.hg
338429	TC15000117.hg
338429	TC15000047.hg
56663	TC05000735.hg
100616117	TC07000645.hg
693193	TC10000728.hg
102466879	
692109	TC03000342.hg
100847005	
100616344	TC09001705.hg
100616344	TC09001708.hg
100616344	TC09001704.hg
100616344	TC09001706.hg
100616344	TC09001707.hg
26807	
100616231	TC16001045.hg
414236	TC10001421.hg
147645	TC19002558.hg
147645	TC19001773.hg
22937	TC03002894.hg
22937	TC03001367.hg
22937	
30846	TC19000681.hg
30846	
100422975	TC01002151.hg
100500888	
677831	
23466	TC22000799.hg
23466	
100302242	
100313773	TC16000868.hg
100422839	TC01001480.hg
100423010	TC01001480.hg
84669	TC17001761.hg
84669	TC17002741.hg
84669	
84669	ADDON000398.hg
84669	ADDON001967.hg
102465878	
102465435	
100422824	TC02002566.hg
1797	
388701	TC01003289.hg
