EntrezGene ID	RefSeq mRNA [e.g. NM_001195597]
100847018	
100422916	
574517	
343099	NM_001306076
343099	
343099	NM_206886
1730	NM_007309
1730	NM_006729
1730	
57414	
57414	NM_001040456
57414	NM_001040457
285966	NM_001130025
285966	
285966	NM_173678
285966	NM_001130026
100033454	
692158	
102724728	
574496	
102465665	
26795	
9303	
102465509	
100302157	
100616315	
100846996	
574514	
100422878	
767579	
100616280	
100616229	
100313770	
121549	NM_203436
100500824	
132789	
132789	NM_001270880
132789	NM_138335
132789	NM_001270881
102723532	
105369274	
26788	
100616223	
100616397	
5663	
5663	NM_007318
5663	NM_000021
102466199	
100422853	
100422993	
100423002	
8479	NM_003609
8479	NM_001197323
8479	
693136	
100422870	
100423009	
406928	
80173	
80173	NM_025103
80173	NM_001099224
80173	NM_001099222
80173	NM_001099223
406900	
102465484	
100033803	
100033603	
29057	
29057	NM_001242491
29057	NM_001242497
29057	NM_001242495
29057	NM_001242496
29057	NM_001242494
29057	NM_001242492
29057	NM_001242489
29057	NM_014138
29057	NM_001242490
29057	NM_001242493
768218	
100616119	
100422940	
693192	
693194	
100847013	
767604	
100500901	
693148	
85316	
85317	
693224	
100302277	
100873856	
406902	
644139	NM_001101387
9351	
9351	NM_001252076
9351	NM_001252073
9351	NM_001252075
9351	NM_001130012
9351	NM_004785
101954277	
100847074	
406924	
100616352	
285550	NM_001145191
285550	
100302213	
100500885	
407024	
9376	
9376	NM_004254
9376	NM_001184732
9376	NM_001184733
9376	NM_001184736
100616241	
100422863	
100169753	
100126311	
2191	NM_004460
2191	NM_001291807
2191	
100847063	
100616439	
102466516	
693151	
102466995	
100847004	
100846993	
319139	
619565	
102464824	
100616270	
100423013	
574038	
100616295	
25978	NM_001244644
25978	NM_014043
25978	
102466725	
100616374	
652965	
100302273	
619569	
100616323	
1831	NM_001015881
1831	NM_004089
1831	
1831	NM_198057
94163	
143162	
143162	NM_001018071
11342	NM_183381
11342	NM_007282
11342	
100126310	
100847062	
102465876	
102465430	
8970	
8970	NM_021058
100500918	
574462	
574465	
692108	
6483	
6483	NM_006927
100422948	
100500822	
100302208	
102465473	
102466864	
100337591	
677771	
102465694	
91380	
100422984	
102465488	
8676	NM_003764
102466723	
100302224	
100422855	
692212	
26820	
693227	
100500818	
6351	NM_002984
6351	
147929	NM_001042474
147929	
147929	NM_152477
100033822	
406908	
693232	
102465465	
724031	
103504728	
100422833	
100616421	
100302255	
31	NM_198834
31	NM_198837
31	NM_198839
31	NM_198836
31	
31	NM_198838
100616161	
100500878	
6359	
6359	NM_032965
677770	
3034	NM_002108
3034	
3034	NM_001258334
3034	NM_001258333
102465974	
100616201	
407055	
100126325	
100616353	
100134015	
100616363	
406904	
100422869	
199	NM_001623
199	
199	NM_004847
199	NM_032955
100302160	
11143	NM_007067
11143	NM_001199156
11143	NM_001199157
11143	NM_001199158
11143	NM_001199155
11143	
100616492	
100313921	
100616219	
442904	
1121	NM_000390
1121	
1121	NM_001145414
442912	
574455	
677829	
689	NM_001207
689	
689	NM_001037637
100302274	
100422851	
101060691	
3849	NM_000423
3849	
100616251	
677795	
767609	
653689	NM_001080843
100616220	
724028	
57116	
57116	NM_001204221
57116	NM_020394
100616306	
100302181	
677804	
22881	NM_001242813
22881	
22881	NM_001242809
22881	NM_014942
22881	NM_001242811
22881	NM_001242814
100033442	
56893	NM_001304342
56893	NM_020131
56893	
100422918	
693140	
100616424	
23155	NM_001048210
23155	
23155	NM_015127
23155	NM_001278203
23155	NM_001278202
125050	
102465691	
100616415	
767603	
100847065	
22909	NM_014967
100847058	
84620	NM_032528
84620	NM_001142351
84620	
84620	NM_001142352
28985	
28985	NM_014060
28985	NM_001137554
100422876	
4133	NM_031847
4133	NM_001039538
4133	
4133	NM_002374
4133	NM_031845
102466758	
5176	NM_002615
5176	
100302203	
1522	NM_001336
1522	
8794	
8794	NM_003841
594839	
102465499	
54535	
54535	NM_019052
54535	NM_001105563
54535	NM_001105564
100500836	
100500920	
692107	
100846995	
100500842	
102465513	
407050	
100616319	
677843	
102465468	
100847024	
100302111	
100616287	
406963	
100616172	
10211	NM_005803
10211	
693223	
100302284	
23378	NM_015324
23378	
100422981	
102465528	
102466906	
780854	
100422868	
100302220	
100500910	
101928388	
407013	
101059938	NM_001282507
101059953	NM_001282507
102465839	
100422829	
100033451	
100616468	
100616481	
102466222	
100505681	
100616116	
100500854	
101929439	
100847023	
102466759	
102466193	
79573	
79573	NM_001122835
79573	NM_024525
406991	
102465802	
100302158	
102466754	
100616479	
100033802	
9302	
406913	
3337	NM_006145
3337	NM_001300914
3337	
100616438	
406892	
100616465	
767598	
494332	
26585	NM_001191322
26585	NM_013372
26585	NM_001191323
123745	NM_001206670
123745	
220963	NM_194298
220963	
643853	NM_001136238
643853	NM_001039770
100422895	
253260	NM_001285440
253260	NM_152756
253260	
253260	NM_001285439
100422881	
126123	NM_152358
126123	
100616151	
102465530	
100616170	
654319	
102465483	
100847069	
102465515	
677681	
100124541	
26813	
407035	
319103	
253175	NM_001003895
253175	NM_001003894
728577	
728577	NM_001201380
100289279	
100289279	NM_001201380
